Virus Strain,Vaccine Element,HLA,Immunogenicity Score,Binding,Error Rate
Zika Virus,vaccine_element_2,HLA-A*45,0.47,1504.0,0.11
Zika Virus,vaccine_element_2,HLA-A*58,0.54,491.0,0.25
Zika Virus,vaccine_element_2,HLA-A*81,0.72,1411.0,0.12
Zika Virus,vaccine_element_2,HLA-A*27,0.88,449.0,0.41
Zika Virus,vaccine_element_2,HLA-B*50,0.96,467.0,0.43
Zika Virus,vaccine_element_2,HLA-A*95,0.62,1662.0,0.55
Zika Virus,vaccine_element_2,HLA-B*81,0.72,472.0,0.55
Zika Virus,vaccine_element_2,HLA-B*29,0.95,1599.0,0.3
Zika Virus,vaccine_element_2,HLA-B*51,0.55,639.0,0.36
Zika Virus,vaccine_element_2,HLA-A*44,0.49,1183.0,0.13
Zika Virus,vaccine_element_2,HLA-B*82,0.45,1800.0,0.6
Zika Virus,vaccine_element_2,HLA-B*72,0.35,604.0,0.47
Zika Virus,vaccine_element_2,HLA-B*52,0.9,907.0,0.63
Zika Virus,vaccine_element_2,HLA-A*54,0.99,1468.0,0.14
Zika Virus,vaccine_element_2,HLA-B*60,0.7,1645.0,0.48
Zika Virus,vaccine_element_2,HLA-B*93,0.49,1584.0,0.61
Zika Virus,vaccine_element_2,HLA-B*32,0.76,1067.0,0.07
Zika Virus,vaccine_element_2,HLA-A*12,0.34,1578.0,0.44
Zika Virus,vaccine_element_2,HLA-B*54,0.5,1273.0,0.19
Zika Virus,vaccine_element_3,HLA-B*40,0.62,1763.0,0.08
Zika Virus,vaccine_element_3,HLA-B*49,0.93,1466.0,0.4
Zika Virus,vaccine_element_3,HLA-B*18,0.68,581.0,0.1
Zika Virus,vaccine_element_3,HLA-A*19,0.7,1148.0,0.55
Zika Virus,vaccine_element_3,HLA-A*40,0.39,427.0,0.43
Zika Virus,vaccine_element_3,HLA-B*33,0.58,1778.0,0.52
Zika Virus,vaccine_element_3,HLA-A*26,0.93,1500.0,0.18
Zika Virus,vaccine_element_3,HLA-B*12,0.46,1183.0,0.09
Zika Virus,vaccine_element_3,HLA-B*97,0.34,875.0,0.66
Zika Virus,vaccine_element_3,HLA-B*09,0.64,368.0,0.62
Zika Virus,vaccine_element_3,HLA-B*89,0.54,678.0,0.28
Zika Virus,vaccine_element_3,HLA-A*45,0.89,1670.0,0.6
Zika Virus,vaccine_element_3,HLA-A*58,0.78,464.0,0.36
Zika Virus,vaccine_element_3,HLA-A*81,0.99,826.0,0.33
Zika Virus,vaccine_element_3,HLA-A*27,0.63,810.0,0.33
Zika Virus,vaccine_element_3,HLA-B*50,0.68,1286.0,0.4
Zika Virus,vaccine_element_3,HLA-A*95,0.64,892.0,0.34
Zika Virus,vaccine_element_3,HLA-B*81,0.53,470.0,0.23
Zika Virus,vaccine_element_3,HLA-B*29,0.53,689.0,0.29
Zika Virus,vaccine_element_3,HLA-B*51,0.9,1062.0,0.51
Zika Virus,vaccine_element_3,HLA-A*44,0.43,877.0,0.44
Zika Virus,vaccine_element_3,HLA-B*82,0.44,1223.0,0.49
Zika Virus,vaccine_element_3,HLA-B*72,0.83,399.0,0.51
Zika Virus,vaccine_element_3,HLA-B*52,0.65,992.0,0.49
Zika Virus,vaccine_element_3,HLA-A*54,0.65,1043.0,0.2
Zika Virus,vaccine_element_3,HLA-B*60,0.7,539.0,0.53
Zika Virus,vaccine_element_3,HLA-B*93,0.45,1266.0,0.29
Zika Virus,vaccine_element_3,HLA-B*32,0.61,468.0,0.29
Zika Virus,vaccine_element_3,HLA-A*12,0.88,1174.0,0.35
Zika Virus,vaccine_element_3,HLA-B*54,0.51,773.0,0.59
Zika Virus,vaccine_element_4,HLA-B*40,0.54,442.0,0.29
Zika Virus,vaccine_element_4,HLA-B*49,0.67,1607.0,0.12
Zika Virus,vaccine_element_4,HLA-B*18,0.94,607.0,0.41
Zika Virus,vaccine_element_4,HLA-A*19,0.86,1471.0,0.59
Zika Virus,vaccine_element_4,HLA-A*40,0.77,1124.0,0.56
Zika Virus,vaccine_element_4,HLA-B*33,0.57,1574.0,0.24
Zika Virus,vaccine_element_4,HLA-A*26,0.61,1892.0,0.1
Zika Virus,vaccine_element_4,HLA-B*12,0.54,1843.0,0.51
Zika Virus,vaccine_element_4,HLA-B*97,0.5,1478.0,0.32
Zika Virus,vaccine_element_4,HLA-B*09,0.62,1589.0,0.27
Zika Virus,vaccine_element_4,HLA-B*89,0.51,1527.0,0.24
Zika Virus,vaccine_element_4,HLA-A*45,0.77,1921.0,0.23
Zika Virus,vaccine_element_4,HLA-A*58,0.76,1141.0,0.4
Zika Virus,vaccine_element_4,HLA-A*81,0.56,882.0,0.05
Zika Virus,vaccine_element_4,HLA-A*27,0.83,414.0,0.42
Zika Virus,vaccine_element_4,HLA-B*50,0.35,1325.0,0.5
Zika Virus,vaccine_element_4,HLA-A*95,0.67,1662.0,0.25
Zika Virus,vaccine_element_4,HLA-B*81,0.73,870.0,0.56
Zika Virus,vaccine_element_4,HLA-B*29,0.42,1120.0,0.62
Zika Virus,vaccine_element_4,HLA-B*51,0.41,1401.0,0.65
Zika Virus,vaccine_element_4,HLA-A*44,0.45,1508.0,0.29
Zika Virus,vaccine_element_4,HLA-B*82,0.59,942.0,0.54
Zika Virus,vaccine_element_4,HLA-B*72,0.63,1947.0,0.62
Zika Virus,vaccine_element_4,HLA-B*52,0.4,870.0,0.36
Zika Virus,vaccine_element_4,HLA-A*54,0.4,569.0,0.19
Zika Virus,vaccine_element_4,HLA-B*60,0.99,1474.0,0.05
Zika Virus,vaccine_element_4,HLA-B*93,0.98,1872.0,0.43
Zika Virus,vaccine_element_4,HLA-B*32,0.85,352.0,0.12
Zika Virus,vaccine_element_4,HLA-A*12,0.55,812.0,0.46
Zika Virus,vaccine_element_4,HLA-B*54,0.43,736.0,0.13
Zika Virus,vaccine_element_5,HLA-B*40,0.63,1537.0,0.17
Zika Virus,vaccine_element_5,HLA-B*49,0.51,331.0,0.58
Zika Virus,vaccine_element_5,HLA-B*18,0.54,999.0,0.34
Zika Virus,vaccine_element_5,HLA-A*19,0.65,725.0,0.08
Zika Virus,vaccine_element_5,HLA-A*40,0.94,381.0,0.65
Zika Virus,vaccine_element_5,HLA-B*33,0.96,417.0,0.04
Zika Virus,vaccine_element_5,HLA-A*26,0.69,1153.0,0.64
Zika Virus,vaccine_element_5,HLA-B*12,0.77,1902.0,0.26
Zika Virus,vaccine_element_5,HLA-B*97,0.76,1039.0,0.46
Zika Virus,vaccine_element_5,HLA-B*09,0.6,1968.0,0.51
Zika Virus,vaccine_element_5,HLA-B*89,0.92,1518.0,0.62
Zika Virus,vaccine_element_5,HLA-A*45,0.85,864.0,0.56
Zika Virus,vaccine_element_5,HLA-A*58,0.94,1236.0,0.05
Zika Virus,vaccine_element_5,HLA-A*81,0.63,1553.0,0.3
Zika Virus,vaccine_element_5,HLA-A*27,0.87,1694.0,0.64
Zika Virus,vaccine_element_5,HLA-B*50,0.91,1581.0,0.56
Zika Virus,vaccine_element_5,HLA-A*95,0.63,757.0,0.5
Zika Virus,vaccine_element_5,HLA-B*81,0.46,1953.0,0.19
Zika Virus,vaccine_element_5,HLA-B*29,0.36,708.0,0.36
Zika Virus,vaccine_element_5,HLA-B*51,0.4,908.0,0.18
Zika Virus,vaccine_element_5,HLA-A*44,0.98,1279.0,0.06
Zika Virus,vaccine_element_5,HLA-B*82,0.75,1085.0,0.53
Zika Virus,vaccine_element_5,HLA-B*72,0.54,1680.0,0.42
Zika Virus,vaccine_element_5,HLA-B*52,0.49,1193.0,0.54
Zika Virus,vaccine_element_5,HLA-A*54,0.86,1537.0,0.19
Zika Virus,vaccine_element_5,HLA-B*60,0.38,366.0,0.24
Zika Virus,vaccine_element_5,HLA-B*93,0.48,333.0,0.51
Zika Virus,vaccine_element_5,HLA-B*32,0.42,514.0,0.03
Zika Virus,vaccine_element_5,HLA-A*12,0.54,1678.0,0.55
Zika Virus,vaccine_element_5,HLA-B*54,0.93,1610.0,0.6
Zika Virus,vaccine_element_6,HLA-B*40,0.4,828.0,0.2
Zika Virus,vaccine_element_6,HLA-B*49,0.88,1903.0,0.31
Zika Virus,vaccine_element_6,HLA-B*18,0.76,1260.0,0.47
Zika Virus,vaccine_element_6,HLA-A*19,0.72,1986.0,0.13
Zika Virus,vaccine_element_6,HLA-A*40,0.89,791.0,0.64
Zika Virus,vaccine_element_6,HLA-B*33,1.0,1047.0,0.6
Zika Virus,vaccine_element_6,HLA-A*26,0.69,1537.0,0.13
Zika Virus,vaccine_element_6,HLA-B*12,0.85,1117.0,0.51
Zika Virus,vaccine_element_6,HLA-B*97,0.37,524.0,0.56
Zika Virus,vaccine_element_6,HLA-B*09,0.68,1871.0,0.37
Zika Virus,vaccine_element_6,HLA-B*89,0.61,1325.0,0.48
Zika Virus,vaccine_element_6,HLA-A*45,0.7,691.0,0.4
Zika Virus,vaccine_element_6,HLA-A*58,0.46,663.0,0.62
Zika Virus,vaccine_element_6,HLA-A*81,0.97,1106.0,0.4
Zika Virus,vaccine_element_6,HLA-A*27,0.69,1776.0,0.03
Zika Virus,vaccine_element_6,HLA-B*50,0.67,447.0,0.46
Zika Virus,vaccine_element_6,HLA-A*95,0.7,1929.0,0.64
Zika Virus,vaccine_element_6,HLA-B*81,0.71,1519.0,0.32
Zika Virus,vaccine_element_6,HLA-B*29,0.52,465.0,0.33
Zika Virus,vaccine_element_6,HLA-B*51,0.71,1431.0,0.3
Zika Virus,vaccine_element_6,HLA-A*44,0.72,468.0,0.22
Zika Virus,vaccine_element_6,HLA-B*82,0.7,308.0,0.07
Zika Virus,vaccine_element_6,HLA-B*72,0.49,1365.0,0.51
Zika Virus,vaccine_element_6,HLA-B*52,0.64,403.0,0.57
Zika Virus,vaccine_element_6,HLA-A*54,0.72,311.0,0.16
Zika Virus,vaccine_element_6,HLA-B*60,0.39,1876.0,0.42
Zika Virus,vaccine_element_6,HLA-B*93,0.73,859.0,0.24
Zika Virus,vaccine_element_6,HLA-B*32,0.74,1155.0,0.37
Zika Virus,vaccine_element_6,HLA-A*12,0.7,1903.0,0.34
Zika Virus,vaccine_element_6,HLA-B*54,0.7,1483.0,0.46
Zika Virus,vaccine_element_7,HLA-B*40,1.0,1284.0,0.15
Zika Virus,vaccine_element_7,HLA-B*49,0.61,1099.0,0.06
Zika Virus,vaccine_element_7,HLA-B*18,0.36,1565.0,0.15
Zika Virus,vaccine_element_7,HLA-A*19,0.49,1920.0,0.04
Zika Virus,vaccine_element_7,HLA-A*40,0.58,1145.0,0.34
Zika Virus,vaccine_element_7,HLA-B*33,0.45,316.0,0.3
Zika Virus,vaccine_element_7,HLA-A*26,0.52,597.0,0.28
Zika Virus,vaccine_element_7,HLA-B*12,0.63,1561.0,0.59
Zika Virus,vaccine_element_7,HLA-B*97,0.45,1271.0,0.14
Zika Virus,vaccine_element_7,HLA-B*09,0.71,1677.0,0.34
Zika Virus,vaccine_element_7,HLA-B*89,0.55,785.0,0.05
Zika Virus,vaccine_element_7,HLA-A*45,0.56,1848.0,0.27
Zika Virus,vaccine_element_7,HLA-A*58,0.56,1221.0,0.36
Zika Virus,vaccine_element_7,HLA-A*81,0.84,512.0,0.29
Zika Virus,vaccine_element_7,HLA-A*27,0.65,534.0,0.32
Zika Virus,vaccine_element_7,HLA-B*50,0.42,843.0,0.62
Zika Virus,vaccine_element_7,HLA-A*95,0.98,1847.0,0.5
Zika Virus,vaccine_element_7,HLA-B*81,0.98,1674.0,0.04
Zika Virus,vaccine_element_7,HLA-B*29,0.46,466.0,0.35
Zika Virus,vaccine_element_7,HLA-B*51,0.82,1413.0,0.12
Zika Virus,vaccine_element_7,HLA-A*44,0.57,323.0,0.31
Zika Virus,vaccine_element_7,HLA-B*82,0.98,922.0,0.14
Zika Virus,vaccine_element_7,HLA-B*72,0.72,867.0,0.27
Zika Virus,vaccine_element_7,HLA-B*52,0.89,933.0,0.53
Zika Virus,vaccine_element_7,HLA-A*54,0.33,1060.0,0.46
Zika Virus,vaccine_element_7,HLA-B*60,0.62,1444.0,0.35
Zika Virus,vaccine_element_7,HLA-B*93,0.34,1972.0,0.1
Zika Virus,vaccine_element_7,HLA-B*32,0.38,1527.0,0.49
Zika Virus,vaccine_element_7,HLA-A*12,0.56,1133.0,0.48
Zika Virus,vaccine_element_7,HLA-B*54,0.54,1835.0,0.34
Zika Virus,vaccine_element_8,HLA-B*40,0.59,1011.0,0.5
Zika Virus,vaccine_element_8,HLA-B*49,0.43,548.0,0.26
Zika Virus,vaccine_element_8,HLA-B*18,0.9,947.0,0.14
Zika Virus,vaccine_element_8,HLA-A*19,0.52,1599.0,0.36
Zika Virus,vaccine_element_8,HLA-A*40,0.54,859.0,0.19
Zika Virus,vaccine_element_8,HLA-B*33,0.4,567.0,0.24
Zika Virus,vaccine_element_8,HLA-A*26,0.72,1104.0,0.45
Zika Virus,vaccine_element_8,HLA-B*12,0.73,1078.0,0.37
Zika Virus,vaccine_element_8,HLA-B*97,0.96,807.0,0.44
Zika Virus,vaccine_element_8,HLA-B*09,0.61,1584.0,0.63
Zika Virus,vaccine_element_8,HLA-B*89,0.98,1494.0,0.44
Zika Virus,vaccine_element_8,HLA-A*45,0.79,1123.0,0.53
Zika Virus,vaccine_element_8,HLA-A*58,0.53,1750.0,0.61
Zika Virus,vaccine_element_8,HLA-A*81,1.0,1056.0,0.04
Zika Virus,vaccine_element_8,HLA-A*27,0.38,1534.0,0.51
Zika Virus,vaccine_element_8,HLA-B*50,0.5,1336.0,0.27
Zika Virus,vaccine_element_8,HLA-A*95,0.47,1816.0,0.49
Zika Virus,vaccine_element_8,HLA-B*81,0.62,1515.0,0.04
Zika Virus,vaccine_element_8,HLA-B*29,0.52,1170.0,0.11
Zika Virus,vaccine_element_8,HLA-B*51,0.78,1304.0,0.63
Zika Virus,vaccine_element_8,HLA-A*44,0.89,1926.0,0.04
Zika Virus,vaccine_element_8,HLA-B*82,0.68,1284.0,0.2
Zika Virus,vaccine_element_8,HLA-B*72,0.93,1004.0,0.29
Zika Virus,vaccine_element_8,HLA-B*52,0.37,1807.0,0.66
Zika Virus,vaccine_element_8,HLA-A*54,0.64,353.0,0.55
Zika Virus,vaccine_element_8,HLA-B*60,0.81,1770.0,0.57
Zika Virus,vaccine_element_8,HLA-B*93,0.67,1255.0,0.44
Zika Virus,vaccine_element_8,HLA-B*32,0.58,704.0,0.65
Zika Virus,vaccine_element_8,HLA-A*12,0.48,1718.0,0.17
Zika Virus,vaccine_element_8,HLA-B*54,0.4,406.0,0.18
Zika Virus,vaccine_element_9,HLA-B*40,0.6,658.0,0.62
Zika Virus,vaccine_element_9,HLA-B*49,0.61,1206.0,0.62
Zika Virus,vaccine_element_9,HLA-B*18,0.76,1796.0,0.11
Zika Virus,vaccine_element_9,HLA-A*19,0.66,518.0,0.41
Zika Virus,vaccine_element_9,HLA-A*40,0.33,753.0,0.08
Zika Virus,vaccine_element_9,HLA-B*33,0.38,627.0,0.24
Zika Virus,vaccine_element_9,HLA-A*26,0.9,584.0,0.66
Zika Virus,vaccine_element_9,HLA-B*12,0.84,302.0,0.07
Zika Virus,vaccine_element_9,HLA-B*97,0.95,1568.0,0.12
Zika Virus,vaccine_element_9,HLA-B*09,0.52,1267.0,0.22
Zika Virus,vaccine_element_9,HLA-B*89,0.53,1053.0,0.51
Zika Virus,vaccine_element_9,HLA-A*45,0.83,411.0,0.26
Zika Virus,vaccine_element_9,HLA-A*58,1.0,437.0,0.34
Zika Virus,vaccine_element_9,HLA-A*81,0.49,1591.0,0.44
Zika Virus,vaccine_element_9,HLA-A*27,0.92,342.0,0.17
Zika Virus,vaccine_element_9,HLA-B*50,0.42,518.0,0.32
Zika Virus,vaccine_element_9,HLA-A*95,0.46,390.0,0.5
Zika Virus,vaccine_element_9,HLA-B*81,0.98,1454.0,0.62
Zika Virus,vaccine_element_9,HLA-B*29,0.72,630.0,0.2
Zika Virus,vaccine_element_9,HLA-B*51,0.95,519.0,0.55
Zika Virus,vaccine_element_9,HLA-A*44,0.44,1493.0,0.6
Zika Virus,vaccine_element_9,HLA-B*82,0.5,1350.0,0.39
Zika Virus,vaccine_element_9,HLA-B*72,0.51,857.0,0.49
Zika Virus,vaccine_element_9,HLA-B*52,0.71,1274.0,0.38
Zika Virus,vaccine_element_9,HLA-A*54,0.63,1193.0,0.25
Zika Virus,vaccine_element_9,HLA-B*60,0.76,770.0,0.64
Zika Virus,vaccine_element_9,HLA-B*93,0.45,1868.0,0.05
Zika Virus,vaccine_element_9,HLA-B*32,0.99,1473.0,0.32
Zika Virus,vaccine_element_9,HLA-A*12,0.64,1218.0,0.57
Zika Virus,vaccine_element_9,HLA-B*54,0.7,815.0,0.3
Zika Virus,vaccine_element_10,HLA-B*40,0.33,917.0,0.34
Zika Virus,vaccine_element_10,HLA-B*49,0.54,1838.0,0.2
Zika Virus,vaccine_element_10,HLA-B*18,0.9,804.0,0.17
Zika Virus,vaccine_element_10,HLA-A*19,0.94,1076.0,0.19
Zika Virus,vaccine_element_10,HLA-A*40,1.0,1540.0,0.24
Zika Virus,vaccine_element_10,HLA-B*33,0.97,680.0,0.3
Zika Virus,vaccine_element_10,HLA-A*26,0.51,541.0,0.22
Zika Virus,vaccine_element_10,HLA-B*12,0.91,1501.0,0.63
Zika Virus,vaccine_element_10,HLA-B*97,0.38,752.0,0.07
Zika Virus,vaccine_element_10,HLA-B*09,0.64,511.0,0.54
Zika Virus,vaccine_element_10,HLA-B*89,0.97,1530.0,0.14
Zika Virus,vaccine_element_10,HLA-A*45,0.56,396.0,0.37
Zika Virus,vaccine_element_10,HLA-A*58,0.7,385.0,0.12
Zika Virus,vaccine_element_10,HLA-A*81,0.64,1452.0,0.46
Zika Virus,vaccine_element_10,HLA-A*27,0.78,1769.0,0.13
Zika Virus,vaccine_element_10,HLA-B*50,0.34,496.0,0.12
Zika Virus,vaccine_element_10,HLA-A*95,0.41,789.0,0.25
Zika Virus,vaccine_element_10,HLA-B*81,0.67,353.0,0.44
Zika Virus,vaccine_element_10,HLA-B*29,0.53,1883.0,0.2
Zika Virus,vaccine_element_10,HLA-B*51,0.7,629.0,0.19
Zika Virus,vaccine_element_10,HLA-A*44,0.82,391.0,0.34
Zika Virus,vaccine_element_10,HLA-B*82,0.4,1206.0,0.46
Zika Virus,vaccine_element_10,HLA-B*72,0.71,1651.0,0.64
Zika Virus,vaccine_element_10,HLA-B*52,0.63,1533.0,0.32
Zika Virus,vaccine_element_10,HLA-A*54,0.59,672.0,0.43
Zika Virus,vaccine_element_10,HLA-B*60,0.37,787.0,0.52
Zika Virus,vaccine_element_10,HLA-B*93,0.86,1222.0,0.62
Zika Virus,vaccine_element_10,HLA-B*32,0.86,1615.0,0.35
Zika Virus,vaccine_element_10,HLA-A*12,0.78,1456.0,0.57
Zika Virus,vaccine_element_10,HLA-B*54,0.89,1613.0,0.33
Zika Virus,vaccine_element_11,HLA-B*40,0.71,1408.0,0.52
Zika Virus,vaccine_element_11,HLA-B*49,0.38,632.0,0.66
Zika Virus,vaccine_element_11,HLA-B*18,0.79,1900.0,0.6
Zika Virus,vaccine_element_11,HLA-A*19,0.87,1628.0,0.52
Zika Virus,vaccine_element_11,HLA-A*40,0.38,445.0,0.16
Zika Virus,vaccine_element_11,HLA-B*33,0.87,1244.0,0.25
Zika Virus,vaccine_element_11,HLA-A*26,0.97,1424.0,0.55
Zika Virus,vaccine_element_11,HLA-B*12,0.37,1145.0,0.51
Zika Virus,vaccine_element_11,HLA-B*97,0.58,680.0,0.62
Zika Virus,vaccine_element_11,HLA-B*09,0.69,1039.0,0.55
Zika Virus,vaccine_element_11,HLA-B*89,0.91,1259.0,0.65
Zika Virus,vaccine_element_11,HLA-A*45,0.72,1232.0,0.5
Zika Virus,vaccine_element_11,HLA-A*58,0.59,1115.0,0.08
Zika Virus,vaccine_element_11,HLA-A*81,0.98,664.0,0.04
Zika Virus,vaccine_element_11,HLA-A*27,0.75,1248.0,0.07
Zika Virus,vaccine_element_11,HLA-B*50,0.74,1055.0,0.49
Zika Virus,vaccine_element_11,HLA-A*95,0.9,492.0,0.07
Zika Virus,vaccine_element_11,HLA-B*81,0.75,1905.0,0.1
Zika Virus,vaccine_element_11,HLA-B*29,0.81,1990.0,0.63
Zika Virus,vaccine_element_11,HLA-B*51,0.57,412.0,0.32
Zika Virus,vaccine_element_11,HLA-A*44,0.46,816.0,0.17
Zika Virus,vaccine_element_11,HLA-B*82,0.88,1109.0,0.07
Zika Virus,vaccine_element_11,HLA-B*72,0.56,412.0,0.46
Zika Virus,vaccine_element_11,HLA-B*52,0.7,446.0,0.16
Zika Virus,vaccine_element_11,HLA-A*54,0.88,603.0,0.55
Zika Virus,vaccine_element_11,HLA-B*60,0.97,1801.0,0.35
Zika Virus,vaccine_element_11,HLA-B*93,0.74,1894.0,0.25
Zika Virus,vaccine_element_11,HLA-B*32,0.49,1254.0,0.46
Zika Virus,vaccine_element_11,HLA-A*12,0.84,1050.0,0.33
Zika Virus,vaccine_element_11,HLA-B*54,0.65,1115.0,0.27
Zika Virus,vaccine_element_12,HLA-B*40,0.96,1070.0,0.61
Zika Virus,vaccine_element_12,HLA-B*49,0.85,1624.0,0.41
Zika Virus,vaccine_element_12,HLA-B*18,0.34,375.0,0.09
Zika Virus,vaccine_element_12,HLA-A*19,0.39,563.0,0.35
Zika Virus,vaccine_element_12,HLA-A*40,0.58,731.0,0.6
Zika Virus,vaccine_element_12,HLA-B*33,0.42,1420.0,0.24
Zika Virus,vaccine_element_12,HLA-A*26,0.83,885.0,0.31
Zika Virus,vaccine_element_12,HLA-B*12,1.0,933.0,0.07
Zika Virus,vaccine_element_12,HLA-B*97,0.33,1514.0,0.25
Zika Virus,vaccine_element_12,HLA-B*09,0.65,1381.0,0.28
Zika Virus,vaccine_element_12,HLA-B*89,0.34,1879.0,0.28
Zika Virus,vaccine_element_12,HLA-A*45,0.74,945.0,0.44
Zika Virus,vaccine_element_12,HLA-A*58,0.45,1350.0,0.63
Zika Virus,vaccine_element_12,HLA-A*81,0.86,818.0,0.38
Zika Virus,vaccine_element_12,HLA-A*27,0.39,961.0,0.57
Zika Virus,vaccine_element_12,HLA-B*50,0.57,464.0,0.66
Zika Virus,vaccine_element_12,HLA-A*95,0.36,1380.0,0.09
Zika Virus,vaccine_element_12,HLA-B*81,0.39,1083.0,0.42
Zika Virus,vaccine_element_12,HLA-B*29,0.75,330.0,0.22
Zika Virus,vaccine_element_12,HLA-B*51,0.63,1970.0,0.17
Zika Virus,vaccine_element_12,HLA-A*44,0.81,759.0,0.47
Zika Virus,vaccine_element_12,HLA-B*82,0.46,838.0,0.65
Zika Virus,vaccine_element_12,HLA-B*72,0.6,870.0,0.31
Zika Virus,vaccine_element_12,HLA-B*52,0.36,1685.0,0.39
Zika Virus,vaccine_element_12,HLA-A*54,0.45,1345.0,0.3
Zika Virus,vaccine_element_12,HLA-B*60,0.48,523.0,0.66
Zika Virus,vaccine_element_12,HLA-B*93,0.49,1867.0,0.14
Zika Virus,vaccine_element_12,HLA-B*32,0.48,805.0,0.43
Zika Virus,vaccine_element_12,HLA-A*12,0.63,1183.0,0.42
Zika Virus,vaccine_element_12,HLA-B*54,0.99,394.0,0.4
Zika Virus,vaccine_element_13,HLA-B*40,0.39,1852.0,0.23
Zika Virus,vaccine_element_13,HLA-B*49,0.48,1351.0,0.64
Zika Virus,vaccine_element_13,HLA-B*18,0.82,361.0,0.17
Zika Virus,vaccine_element_13,HLA-A*19,0.5,1538.0,0.21
Zika Virus,vaccine_element_13,HLA-A*40,0.7,1621.0,0.37
Zika Virus,vaccine_element_13,HLA-B*33,0.75,534.0,0.58
Zika Virus,vaccine_element_13,HLA-A*26,0.54,342.0,0.5
Zika Virus,vaccine_element_13,HLA-B*12,0.33,461.0,0.57
Zika Virus,vaccine_element_13,HLA-B*97,0.71,1714.0,0.42
Zika Virus,vaccine_element_13,HLA-B*09,0.53,331.0,0.33
Zika Virus,vaccine_element_13,HLA-B*89,0.74,1775.0,0.43
Zika Virus,vaccine_element_13,HLA-A*45,0.74,1212.0,0.57
Zika Virus,vaccine_element_13,HLA-A*58,0.56,1630.0,0.52
Zika Virus,vaccine_element_13,HLA-A*81,0.81,1141.0,0.06
Zika Virus,vaccine_element_13,HLA-A*27,0.49,1422.0,0.57
Zika Virus,vaccine_element_13,HLA-B*50,0.37,312.0,0.36
Zika Virus,vaccine_element_13,HLA-A*95,0.75,916.0,0.14
Zika Virus,vaccine_element_13,HLA-B*81,0.37,1368.0,0.06
Zika Virus,vaccine_element_13,HLA-B*29,0.37,458.0,0.14
Zika Virus,vaccine_element_13,HLA-B*51,0.75,1492.0,0.33
